"000","","","81999898","1"
"000","","AUD","81999898","2"
"000","","EUR","81999898","2"
"000","","GBP","81999898","2"
"000","","HUF","81999898","2"
"000","","IEP","81999898","2"
"000","","NZD","81999898","2"
"000","","USD","81999898","2"
"000","AUD","NZD","81999898","1"
"000","AUD","USD","81999898","1"
"000","EUR","AUD","81999898","1"
"000","EUR","GBP","81999898","1"
"000","EUR","IEP","81999898","1"
"000","EUR","NZD","81999898","1"
"000","EUR","USD","81999898","1"
"000","GBP","AUD","81999898","1"
"000","GBP","IEP","81999898","1"
"000","GBP","NZD","81999898","1"
"000","GBP","USD","81999898","1"
"000","IEP","AUD","81999898","1"
"000","IEP","NZD","81999898","1"
"000","IEP","USD","81999898","1"
"000","NZD","USD","81999898","1"
"102","","","81999898","1"
"102","","AUD","81999898","2"
"102","","EUR","81999898","2"
"102","","GBP","81999898","2"
"102","","IEP","81999898","2"
"102","","NZD","81999898","2"
"102","","USD","81999898","2"
"102","AUD","NZD","81999898","1"
"102","AUD","USD","81999898","1"
"102","EUR","AUD","81999898","1"
"102","EUR","GBP","81999898","1"
"102","EUR","IEP","81999898","1"
"102","EUR","NZD","81999898","1"
"102","EUR","USD","81999898","1"
"102","GBP","AUD","81999898","1"
"102","GBP","IEP","81999898","1"
"102","GBP","NZD","81999898","1"
"102","GBP","USD","81999898","1"
"102","IEP","AUD","81999898","1"
"102","IEP","NZD","81999898","1"
"102","IEP","USD","81999898","1"
"102","NZD","USD","81999898","1"
"103","","","81999898","1"
"103","","AUD","81999898","2"
"103","","EUR","81999898","2"
"103","","GBP","81999898","2"
"103","","IEP","81999898","2"
"103","","NZD","81999898","2"
"103","","USD","81999898","2"
"103","AUD","NZD","81999898","1"
"103","AUD","USD","81999898","1"
"103","EUR","AUD","81999898","1"
"103","EUR","GBP","81999898","1"
"103","EUR","IEP","81999898","1"
"103","EUR","NZD","81999898","1"
"103","EUR","USD","81999898","1"
"103","GBP","AUD","81999898","1"
"103","GBP","IEP","81999898","1"
"103","GBP","NZD","81999898","1"
"103","GBP","USD","81999898","1"
"103","IEP","AUD","81999898","1"
"103","IEP","NZD","81999898","1"
"103","IEP","USD","81999898","1"
"103","NZD","USD","81999898","1"
"104","","","81999898","1"
"104","","AUD","81999898","2"
"104","","EUR","81999898","2"
"104","","GBP","81999898","2"
"104","","IEP","81999898","2"
"104","","NZD","81999898","2"
"104","","USD","81999898","2"
"104","AUD","NZD","81999898","1"
"104","AUD","USD","81999898","1"
"104","EUR","AUD","81999898","1"
"104","EUR","GBP","81999898","1"
"104","EUR","IEP","81999898","1"
"104","EUR","NZD","81999898","1"
"104","EUR","USD","81999898","1"
"104","GBP","AUD","81999898","1"
"104","GBP","IEP","81999898","1"
"104","GBP","NZD","81999898","1"
"104","GBP","USD","81999898","1"
"104","IEP","AUD","81999898","1"
"104","IEP","NZD","81999898","1"
"104","IEP","USD","81999898","1"
"104","NZD","USD","81999898","1"
"105","","","81999898","1"
"105","","AUD","81999898","2"
"105","","EUR","81999898","2"
"105","","GBP","81999898","2"
"105","","IEP","81999898","2"
"105","","NZD","81999898","2"
"105","","USD","81999898","2"
"105","AUD","NZD","81999898","1"
"105","AUD","USD","81999898","1"
"105","EUR","AUD","81999898","1"
"105","EUR","GBP","81999898","1"
"105","EUR","IEP","81999898","1"
"105","EUR","NZD","81999898","1"
"105","EUR","USD","81999898","1"
"105","GBP","AUD","81999898","1"
"105","GBP","IEP","81999898","1"
"105","GBP","NZD","81999898","1"
"105","GBP","USD","81999898","1"
"105","IEP","AUD","81999898","1"
"105","IEP","NZD","81999898","1"
"105","IEP","USD","81999898","1"
"105","NZD","USD","81999898","1"
"106","","","81999898","1"
"106","","AUD","81999898","2"
"106","","EUR","81999898","2"
"106","","GBP","81999898","2"
"106","","IEP","81999898","2"
"106","","NZD","81999898","2"
"106","","USD","81999898","2"
"106","AUD","NZD","81999898","1"
"106","AUD","USD","81999898","1"
"106","EUR","AUD","81999898","1"
"106","EUR","GBP","81999898","1"
"106","EUR","IEP","81999898","1"
"106","EUR","NZD","81999898","1"
"106","EUR","USD","81999898","1"
"106","GBP","AUD","81999898","1"
"106","GBP","IEP","81999898","1"
"106","GBP","NZD","81999898","1"
"106","GBP","USD","81999898","1"
"106","IEP","AUD","81999898","1"
"106","IEP","NZD","81999898","1"
"106","IEP","USD","81999898","1"
"106","NZD","USD","81999898","1"
"107","","","81999898","1"
"107","","AUD","81999898","2"
"107","","EUR","81999898","2"
"107","","GBP","81999898","2"
"107","","IEP","81999898","2"
"107","","NZD","81999898","2"
"107","","USD","81999898","2"
"107","AUD","NZD","81999898","1"
"107","AUD","USD","81999898","1"
"107","EUR","AUD","81999898","1"
"107","EUR","GBP","81999898","1"
"107","EUR","IEP","81999898","1"
"107","EUR","NZD","81999898","1"
"107","EUR","USD","81999898","1"
"107","GBP","AUD","81999898","1"
"107","GBP","IEP","81999898","1"
"107","GBP","NZD","81999898","1"
"107","GBP","USD","81999898","1"
"107","IEP","AUD","81999898","1"
"107","IEP","NZD","81999898","1"
"107","IEP","USD","81999898","1"
"107","NZD","USD","81999898","1"
"108","","","81999898","1"
"108","","AUD","81999898","2"
"108","","EUR","81999898","2"
"108","","GBP","81999898","2"
"108","","IEP","81999898","2"
"108","","NZD","81999898","2"
"108","","USD","81999898","2"
"108","AUD","NZD","81999898","1"
"108","AUD","USD","81999898","1"
"108","EUR","AUD","81999898","1"
"108","EUR","GBP","81999898","1"
"108","EUR","IEP","81999898","1"
"108","EUR","NZD","81999898","1"
"108","EUR","USD","81999898","1"
"108","GBP","AUD","81999898","1"
"108","GBP","IEP","81999898","1"
"108","GBP","NZD","81999898","1"
"108","GBP","USD","81999898","1"
"108","IEP","AUD","81999898","1"
"108","IEP","NZD","81999898","1"
"108","IEP","USD","81999898","1"
"108","NZD","USD","81999898","1"
"109","","","81999898","1"
"109","","AUD","81999898","2"
"109","","EUR","81999898","2"
"109","","GBP","81999898","2"
"109","","IEP","81999898","2"
"109","","NZD","81999898","2"
"109","","USD","81999898","2"
"109","AUD","NZD","81999898","1"
"109","AUD","USD","81999898","1"
"109","EUR","AUD","81999898","1"
"109","EUR","GBP","81999898","1"
"109","EUR","IEP","81999898","1"
"109","EUR","NZD","81999898","1"
"109","EUR","USD","81999898","1"
"109","GBP","AUD","81999898","1"
"109","GBP","IEP","81999898","1"
"109","GBP","NZD","81999898","1"
"109","GBP","USD","81999898","1"
"109","IEP","AUD","81999898","1"
"109","IEP","NZD","81999898","1"
"109","IEP","USD","81999898","1"
"109","NZD","USD","81999898","1"
"110","","","81999898","1"
"110","","AUD","81999898","2"
"110","","EUR","81999898","2"
"110","","GBP","81999898","2"
"110","","IEP","81999898","2"
"110","","NZD","81999898","2"
"110","","USD","81999898","2"
"110","AUD","NZD","81999898","1"
"110","AUD","USD","81999898","1"
"110","EUR","AUD","81999898","1"
"110","EUR","GBP","81999898","1"
"110","EUR","IEP","81999898","1"
"110","EUR","NZD","81999898","1"
"110","EUR","USD","81999898","1"
"110","GBP","AUD","81999898","1"
"110","GBP","IEP","81999898","1"
"110","GBP","NZD","81999898","1"
"110","GBP","USD","81999898","1"
"110","IEP","AUD","81999898","1"
"110","IEP","NZD","81999898","1"
