"109","3","1003","이력환율"
"800","R","100*","СсылЗначение = значение в валюте ГКК"
"502","F","B","Conversion standard au cours 'vente'"
"519","E","2003","Historical exchange rate"
"109","3","1004","현재환율 이전연도"
"800","R","1001","Курс на отчетную дату"
"109","3","200*","참조값 = 그룹값"
"519","E","2004","Current exch. rate prior year"
"800","R","1002","Средний курс"
"502","F","G","Conversion standard au cours 'achat'"
"109","3","2001","현재환율"
"519","E","B","Standard translation at bk.selling rate"
"800","R","1003","Исторический курс"
"109","3","2002","평균환율"
"502","F","M","Conversion standard au cours moyen"
"519","E","EURO","EMU regulation\, fixed exchange rates"
"109","3","2003","이력환율"
"800","R","1004","Курс на отчетную дату предыдущего года"
"519","E","EURX","EMU regulation\, variable exchange rates"
"109","3","2004","현재환율 이전연도"
"502","F","P","Conversion standard pour planif. coûts"
"800","R","1011","Курс на отчетную дату"
"519","E","G","Standard translation at bank buying rate"
"109","3","B","은행매각율의 표준환산"
"800","R","1012","Средний курс"
"519","E","I","Intrastat exchange rate type"
"502","J","100*","参照値 = グループ値"
"109","3","EURO","EMU 규칙\, 고정환율"
"800","R","1013","Исторический курс"
"519","E","M","Standard translation at average rate"
"109","3","EURX","EMU 규칙\, 변동환율"
"502","J","1001","現換算レート"
"800","R","1014","Курс на отчетную дату предыдущего года"
"519","E","P","Standard translation for cost planning"
"109","3","G","은행매입율의 표준환산"
"800","R","200*","СсылЗначение = значение в валюте ГКК"
"109","3","I","Intrastat 환율유형"
"519","F","100*","Val. réf. = montants en devise périmètre"
"502","J","1002","平均換算レート"
"800","R","2001","Курс на отчетную дату"
"109","3","M","평균환율의 표준환산"
"519","F","1001","Cours du jour (de référence)"
"502","J","1003","取得時換算レート"
"800","R","2002","Средний курс"
"109","3","P","원가계획의 표준환산"
"519","F","1002","Cours moyen"
"502","J","1004","前年度換算レート"
"800","R","2003","Исторический курс"
"519","F","1003","Cours historique"
"502","J","200*","参照値 = グループ値"
"109","C","100*","Refer.hodnota = hodnota okruhu"
"800","R","2004","Курс на отчетную дату предыдущего года"
"502","J","2001","現換算レート"
"109","C","1001","Kurz rozhodného dne"
"519","F","1004","Cours du jour de l'exercice précédent"
"800","R","2011","Курс на отчетную дату"
"109","C","1002","Průměrný kurz"
"502","J","2002","平均換算レート"
"519","F","200*","Val. réf. = montants en devise périmètre"
"800","R","2012","Средний курс"
"109","C","1003","Historický kurz"
"519","F","2001","Cours du jour (de référence)"
"800","R","2013","Исторический курс"
"502","J","2003","取得時換算レート"
"109","C","1004","Kurz rozh.dne minulého roku"
"519","F","2002","Cours moyen"
"519","F","2003","Cours historique"
"800","R","2014","Курс на отчетную дату предыдущего года"
"109","C","200*","Refer.hodnota = hodnota okruhu"
"502","J","2004","前年度換算レート"
"109","C","2001","Kurz rozhodného dne"
"519","F","2004","Cours du jour de l'exercice précédent"
"800","R","B","Станд. пересчет по курсу продавца"
"502","J","B","電信売買売値"
"109","C","2002","Průměrný kurz"
"109","C","2003","Historický kurz"
"800","R","EURB","ЕВС - пересчет КПокуп/КПродав"
"519","F","B","conversion standard au cours VENTE"
"502","J","EURO","EMU 規定 固定換算レート"
"502","J","EURX","EMU 規定 変動換算レート"
"519","F","EURO","Règle UEM\, cours fixes"
"109","C","2004","Kurz rozh.dne minulého roku"
"800","R","EURG","ЕВС - пересчет КПокуп/КПродав"
"502","J","G","電信売買買値"
"109","C","B","Standard.přepočet k prodejnímu kurzu"
