"800","EZB","EUR","SEK","80009082","0.96182","1","1"
"800","EZB","EUR","SEK","80009077","0.95157","1","1"
"800","EZB","EUR","SEK","80009072","0.96025","1","1"
"800","EZB","EUR","SEK","80009071","0.95393","1","1"
"800","EZB","EUR","SEK","80009070","0.94670","1","1"
"800","EZB","EUR","SEK","80008998","0.93214","1","1"
"800","EZB","EUR","SEK","80009391","0.96293","1","1"
"800","EZB","EUR","SEK","80009787","0.88936","1","1"
"800","EZB","EUR","SEK","80009784","0.88984","1","1"
"800","EZB","EUR","SEK","80009783","0.89477","1","1"
"800","EZB","EUR","SEK","80009782","0.88865","1","1"
"800","EZB","EUR","SEK","80009781","0.89031","1","1"
"800","EZB","EUR","SEK","80009780","0.89582","1","1"
"800","EZB","EUR","SEK","80009777","0.90975","1","1"
"800","EZB","EUR","SEK","80009776","0.91166","1","1"
"800","EZB","EUR","SEK","80009775","0.90604","1","1"
"800","EZB","EUR","SEK","80009774","0.90654","1","1"
"800","EZB","EUR","SEK","80009773","0.90761","1","1"
"800","EZB","EUR","SEK","80009698","0.91025","1","1"
"800","EZB","EUR","SEK","80009697","0.91853","1","1"
"800","EZB","EUR","SEK","80009696","0.91752","1","1"
"800","EZB","EUR","SEK","80009695","0.92030","1","1"
"800","EZB","EUR","SEK","80009694","0.92302","1","1"
"800","EZB","EUR","SEK","80009691","0.91676","1","1"
"800","EZB","EUR","SEK","80009690","0.92056","1","1"
"800","EZB","EUR","SEK","80009689","0.91299","1","1"
"800","EZB","EUR","SEK","80009687","0.91475","1","1"
"800","EZB","EUR","SEK","80009684","0.91333","1","1"
"800","EZB","EUR","SEK","80009683","0.91735","1","1"
"800","EZB","EUR","SEK","80009681","0.90810","1","1"
"800","EZB","EUR","SEK","80009680","0.91617","1","1"
"800","EZB","EUR","SEK","80009789","0.88168","1","1"
"800","EZB","EUR","SEK","80009895","0.84825","1","1"
"800","EZB","EUR","SEK","80009894","0.84818","1","1"
"800","EZB","EUR","SEK","80009893","0.85157","1","1"
"800","EZB","EUR","SEK","80009892","0.85970","1","1"
"800","EZB","EUR","SEK","80009891","0.85771","1","1"
"800","EZB","EUR","SEK","80009888","0.86438","1","1"
"800","EZB","EUR","SEK","80009887","0.86806","1","1"
"800","EZB","EUR","SEK","80009886","0.85150","1","1"
"800","EZB","EUR","SEK","80009885","0.85815","1","1"
"800","EZB","EUR","SEK","80009884","0.86014","1","1"
"800","EZB","EUR","SEK","80009881","0.86118","1","1"
"800","EZB","EUR","SEK","80009880","0.86088","1","1"
"800","EZB","EUR","SEK","80009879","0.86393","1","1"
"800","EZB","EUR","SEK","80009878","0.86415","1","1"
"800","EZB","EUR","SEK","80009877","0.86453","1","1"
"800","EZB","EUR","SEK","80009874","0.86326","1","1"
"800","EZB","EUR","SEK","80009873","0.86341","1","1"
