"507","B","GBP","DEM","81999898","1","1","","00000000"
"507","B","JPY","DEM","81999898","100","1","","00000000"
"507","B","NLG","DEM","81999898","1","1","","00000000"
"507","B","NOK","DEM","81999898","1","1","","00000000"
"507","B","RUB","DEM","81999898","1","1","","00000000"
"507","B","RUR","DEM","81999898","1","1","","00000000"
"507","B","SEK","DEM","81999898","1","1","","00000000"
"507","B","USD","DEM","81999898","1","1","","00000000"
"507","B","ZAR","DEM","81999898","1","1","","00000000"
"507","G","ATS","DEM","81999898","1","1","","00000000"
"110","EURO","DEM","NLG","81999898","1","1","","00000000"
"507","G","BEF","DEM","81999898","1","1","","00000000"
"507","G","CAD","DEM","81999898","1","1","","00000000"
"110","EURO","ESP","BEF","81999898","1","1","","00000000"
"507","G","CHF","DEM","81999898","1","1","","00000000"
"110","EURO","ESP","NLG","81999898","100","1","","00000000"
"507","G","DEM","DEM","81999898","1","1","","00000000"
"110","EURO","EUR","BEF","81999898","1","1","","00000000"
"507","G","FIM","DEM","81999898","1","1","","00000000"
"110","EURO","EUR","NLG","81999898","1","1","","00000000"
"507","G","FRF","DEM","81999898","1","1","","00000000"
"110","EURO","FIM","BEF","81999898","1","1","","00000000"
"507","G","ITL","DEM","81999898","1000","1","","00000000"
"507","G","JPY","DEM","81999898","100","1","","00000000"
"110","EURO","FIM","NLG","81999898","1","1","","00000000"
"103","M","USD","IEP","80009898","1","1","EURX","00000000"
"507","G","NLG","DEM","81999898","1","1","","00000000"
"110","EURO","FRF","BEF","81999898","1","1","","00000000"
"507","G","NOK","DEM","81999898","1","1","","00000000"
"103","M","USD","ITL","80009898","1","1","EURX","00000000"
"110","EURO","FRF","NLG","81999898","1","1","","00000000"
"507","G","RUB","DEM","81999898","1","1","","00000000"
"104","M","ATS","FIM","80009898","1","1","EURO","00000000"
"110","EURO","GRD","BEF","81999898","1","1","","00000000"
"507","G","RUR","DEM","81999898","1","1","","00000000"
"104","M","ATS","IEP","80009898","1","1","EURO","00000000"
"110","EURO","GRD","NLG","81999898","100","1","","00000000"
"507","G","SEK","DEM","81999898","1","1","","00000000"
"104","M","ATS","ITL","80009898","1","1","EURO","00000000"
"110","EURO","IEP","BEF","81999898","1","1","","00000000"
"507","G","USD","DEM","81999898","1","1","","00000000"
"110","EURO","IEP","NLG","81999898","1","1","","00000000"
"104","M","BEF","FIM","80009898","1","1","EURO","00000000"
